Model,Tool,CardP,CardT,CardA,PTime,TTime,ConstP,NBP,NBT,TotalTime,Time,Mem,Status
Sudoku-PT-AN09,itstools,972,729,2916,14,11,0,243,0,241,80,00,OK
Sudoku-PT-AN10,itstools,1300,1000,4000,26,13,0,300,0,282,84,00,OK
Sudoku-PT-AN11,itstools,1694,1331,5324,31,15,0,363,0,317,88,00,OK
Sudoku-PT-AN12,itstools,2160,1728,6912,24,11,0,432,0,271,85,00,OK
Sudoku-PT-AN13,itstools,2704,2197,8788,33,18,0,507,0,336,93,00,OK
Sudoku-PT-AN14,itstools,3332,2744,10976,47,13,0,588,0,372,98,00,OK
Sudoku-PT-AN15,itstools,4050,3375,13500,59,27,0,675,0,441,1008,01,OK
Sudoku-PT-AN16,itstools,4864,4096,16384,52,24,0,768,0,505,1008,01,OK
Sudoku-PT-BN01,itstools,5,1,5,4,4,0,4,0,105,67,00,OK
Sudoku-PT-BN04,itstools,128,64,320,7,6,0,64,0,131,74,00,OK
Sudoku-PT-BN09,itstools,1053,729,3645,15,10,0,324,0,233,77,00,OK
Sudoku-PT-BN16,itstools,5120,4096,20480,59,25,0,1024,0,449,1003,01,OK
SwimmingPool-PT-01,itstools,9,7,20,4,4,0,3,1,98,64,00,OK
SwimmingPool-PT-02,itstools,9,7,20,4,4,0,3,1,94,67,00,OK
SwimmingPool-PT-03,itstools,9,7,20,4,4,0,3,1,101,68,00,OK
SwimmingPool-PT-04,itstools,9,7,20,5,4,0,3,1,97,67,00,OK
SwimmingPool-PT-05,itstools,9,7,20,4,5,0,3,1,109,66,00,OK
SwimmingPool-PT-06,itstools,9,7,20,4,4,0,3,1,103,70,00,OK
SwimmingPool-PT-07,itstools,9,7,20,4,4,0,3,1,110,69,00,OK
SwimmingPool-PT-08,itstools,9,7,20,5,5,0,3,1,113,69,00,OK
SwimmingPool-PT-09,itstools,9,7,20,4,4,0,3,1,111,70,00,OK
SwimmingPool-PT-10,itstools,9,7,20,4,4,0,3,1,104,71,00,OK
Szymanski-PT-a02,itstools,61,224,900,6,6,12,3,33,155,74,00,OK
Szymanski-PT-a04,itstools,61,224,900,6,7,12,3,33,154,74,00,OK
Szymanski-PT-a06,itstools,61,224,900,6,7,12,3,33,168,72,00,OK
Szymanski-PT-a08,itstools,61,224,900,6,6,12,3,33,162,69,00,OK
Szymanski-PT-a10,itstools,61,224,900,7,7,12,3,33,155,69,00,OK
Szymanski-PT-a12,itstools,61,224,900,6,9,12,3,33,160,72,00,OK
Szymanski-PT-b02,itstools,568,8320,33408,38,60,260,3,2428,617,1018,01,OK
Szymanski-PT-b04,itstools,568,8320,33408,31,62,260,3,2428,598,1020,01,OK
Szymanski-PT-b06,itstools,568,8320,33408,49,65,260,3,2428,590,1017,01,OK
Szymanski-PT-b08,itstools,568,8320,33408,36,70,260,3,2428,572,1013,01,OK
Szymanski-PT-b10,itstools,568,8320,33408,30,85,260,3,2428,565,1015,01,OK
Szymanski-PT-b12,itstools,568,8320,33408,43,58,260,3,2428,575,1017,01,OK
TCPcondis-PT-05,itstools,30,32,108,6,5,0,9,11,117,67,00,OK
TCPcondis-PT-10,itstools,30,32,108,5,5,0,9,11,117,73,00,OK
TCPcondis-PT-15,itstools,30,32,108,5,5,0,9,11,129,69,00,OK
TCPcondis-PT-20,itstools,30,32,108,5,5,0,9,11,137,74,00,OK
TCPcondis-PT-25,itstools,30,32,108,6,5,0,9,11,118,68,00,OK
TCPcondis-PT-30,itstools,30,32,108,6,5,0,9,11,121,67,00,OK
TCPcondis-PT-35,itstools,30,32,108,6,4,0,9,11,117,68,00,OK
TCPcondis-PT-40,itstools,30,32,108,5,4,0,9,11,114,68,00,OK
TCPcondis-PT-50,itstools,30,32,108,6,6,0,9,11,123,71,00,OK
TokenRing-COL-005,itstools,36,156,624,6,7,0,6,126,356,94,00,OK
TokenRing-COL-010,itstools,121,1111,4444,14,20,0,11,1001,435,1005,01,OK
TokenRing-COL-015,itstools,256,3616,14464,25,136,0,16,3376,626,1021,01,OK
TokenRing-COL-020,itstools,441,8421,33684,31,257,0,21,8001,826,1040,01,OK
TokenRing-COL-030,itstools,961,27931,111724,91,239,0,31,27001,1169,1073,01,OK
TokenRing-COL-040,itstools,1681,65641,262564,250,802,0,41,64001,2385,3003,03,OK
TokenRing-COL-050,itstools,2601,127551,510204,352,2647,0,51,125001,5180,5082,05,OK
TokenRing-COL-100,itstools,10201,1010101,4040404,5675,87754,0,101,1000001,103460,104037,44,OK
TokenRing-COL-200,itstools,40401,8040201,32160804,-1,-1,0,0,0,120000,-1,-1,TO
TokenRing-COL-500,itstools,-1,-1,-1,-1,-1,0,0,0,120000,-1,-1,TO
TokenRing-PT-005,itstools,36,156,624,7,8,0,6,126,164,84,00,OK
TokenRing-PT-010,itstools,121,1111,4444,12,25,0,11,1001,285,94,00,OK
TokenRing-PT-015,itstools,256,3616,14464,24,144,0,16,3376,516,1009,01,OK
TokenRing-PT-020,itstools,441,8421,33684,42,161,0,21,8001,646,1019,01,OK
TokenRing-PT-030,itstools,961,27931,111724,121,410,0,31,27001,1505,2007,02,OK
TokenRing-PT-040,itstools,-1,-1,-1,-1,-1,0,0,0,15,61,00,OK
TokenRing-PT-050,itstools,-1,-1,-1,-1,-1,0,0,0,14,60,00,OK
TriangularGrid-PT-1200,itstools,16,12,48,5,5,0,8,4,113,69,00,OK
TriangularGrid-PT-1500,itstools,16,12,48,5,5,0,8,4,110,70,00,OK
TriangularGrid-PT-2011,itstools,52,42,168,6,5,0,23,13,126,72,00,OK
TriangularGrid-PT-3011,itstools,108,90,360,9,6,0,46,28,151,76,00,OK
TriangularGrid-PT-3026,itstools,108,90,360,8,7,0,46,28,146,79,00,OK
TriangularGrid-PT-4022,itstools,184,156,624,9,8,0,77,49,162,76,00,OK
TriangularGrid-PT-5020,itstools,280,240,960,16,8,0,116,76,167,77,00,OK
TriangularGrid-PT-5046,itstools,280,240,960,12,12,0,116,76,180,77,00,OK
TwoPhaseLocking-PT-nC00004vD,itstools,8,6,18,5,5,0,3,1,117,71,00,OK
TwoPhaseLocking-PT-nC00004vN,itstools,8,6,18,5,6,0,3,1,104,67,00,OK
TwoPhaseLocking-PT-nC00010vD,itstools,8,6,18,4,4,0,3,1,106,69,00,OK
TwoPhaseLocking-PT-nC00010vN,itstools,8,6,18,5,4,0,3,1,106,69,00,OK
TwoPhaseLocking-PT-nC00020vD,itstools,8,6,18,4,5,0,3,1,106,69,00,OK
TwoPhaseLocking-PT-nC00020vN,itstools,8,6,18,4,5,0,3,1,125,70,00,OK
TwoPhaseLocking-PT-nC00050vD,itstools,8,6,18,4,5,0,3,1,127,73,00,OK
TwoPhaseLocking-PT-nC00050vN,itstools,8,6,18,4,5,0,3,1,116,72,00,OK
TwoPhaseLocking-PT-nC00100vD,itstools,8,6,18,4,5,0,3,1,112,69,00,OK
TwoPhaseLocking-PT-nC00100vN,itstools,8,6,18,5,4,0,3,1,112,68,00,OK
TwoPhaseLocking-PT-nC00200vD,itstools,8,6,18,4,5,0,3,1,110,71,00,OK
TwoPhaseLocking-PT-nC00200vN,itstools,8,6,18,4,4,0,3,1,115,71,00,OK
TwoPhaseLocking-PT-nC00500vD,itstools,8,6,18,5,4,0,3,1,115,73,00,OK
TwoPhaseLocking-PT-nC00500vN,itstools,8,6,18,4,5,0,3,1,104,66,00,OK
TwoPhaseLocking-PT-nC01000vD,itstools,8,6,18,5,5,0,3,1,116,72,00,OK
TwoPhaseLocking-PT-nC01000vN,itstools,8,6,18,4,4,0,3,1,107,68,00,OK
TwoPhaseLocking-PT-nC02000vD,itstools,8,6,18,5,5,0,3,1,108,70,00,OK
TwoPhaseLocking-PT-nC02000vN,itstools,8,6,18,4,5,0,3,1,104,67,00,OK
TwoPhaseLocking-PT-nC05000vD,itstools,8,6,18,4,4,0,3,1,105,69,00,OK
TwoPhaseLocking-PT-nC05000vN,itstools,8,6,18,4,4,0,3,1,107,68,00,OK
TwoPhaseLocking-PT-nC10000vD,itstools,8,6,18,4,5,0,3,1,119,73,00,OK
TwoPhaseLocking-PT-nC10000vN,itstools,8,6,18,4,5,0,3,1,110,73,00,OK
UtahNoC-PT-none,itstools,216,977,2905,11,10,0,8,219,203,82,00,OK
UtilityControlRoom-COL-Z2T3N04,itstools,72,108,340,8,8,0,11,31,400,98,00,OK
UtilityControlRoom-COL-Z2T3N06,itstools,106,162,510,9,8,0,15,47,384,1000,01,OK
UtilityControlRoom-COL-Z2T3N08,itstools,140,216,680,7,6,0,19,63,372,94,00,OK
UtilityControlRoom-COL-Z2T3N10,itstools,174,270,850,9,8,0,23,79,416,97,00,OK
UtilityControlRoom-COL-Z2T4N02,itstools,38,54,170,6,4,0,7,15,377,94,00,OK
UtilityControlRoom-COL-Z2T4N04,itstools,72,108,340,6,7,0,11,31,407,99,00,OK
UtilityControlRoom-COL-Z2T4N06,itstools,106,162,510,8,8,0,15,47,390,96,00,OK
UtilityControlRoom-COL-Z2T4N08,itstools,140,216,680,10,6,0,19,63,400,96,00,OK
UtilityControlRoom-COL-Z2T4N10,itstools,174,270,850,10,11,0,23,79,403,98,00,OK
UtilityControlRoom-COL-Z4T3N06,itstools,228,450,1446,14,9,0,15,141,400,97,00,OK
UtilityControlRoom-COL-Z4T3N08,itstools,302,600,1928,18,13,0,19,189,410,98,00,OK
UtilityControlRoom-COL-Z4T3N10,itstools,376,750,2410,18,19,0,23,237,426,98,00,OK
UtilityControlRoom-COL-Z4T4N02,itstools,80,150,482,7,6,0,7,45,381,93,00,OK
UtilityControlRoom-COL-Z4T4N04,itstools,154,300,964,11,6,0,11,93,400,96,00,OK
UtilityControlRoom-COL-Z4T4N06,itstools,228,450,1446,15,8,0,15,141,412,97,00,OK
UtilityControlRoom-COL-Z4T4N08,itstools,302,600,1928,12,14,0,19,189,402,98,00,OK
UtilityControlRoom-COL-Z4T4N10,itstools,376,750,2410,25,18,0,23,237,444,99,00,OK
UtilityControlRoom-PT-Z2T3N04,itstools,72,108,340,8,6,0,11,31,138,69,00,OK
UtilityControlRoom-PT-Z2T3N06,itstools,106,162,510,9,8,0,15,47,138,71,00,OK
UtilityControlRoom-PT-Z2T3N08,itstools,140,216,680,10,7,0,19,63,155,75,00,OK
UtilityControlRoom-PT-Z2T3N10,itstools,174,270,850,9,9,0,23,79,162,73,00,OK
UtilityControlRoom-PT-Z2T4N02,itstools,38,54,170,6,6,0,7,15,126,67,00,OK
UtilityControlRoom-PT-Z2T4N04,itstools,72,108,340,7,6,0,11,31,139,68,00,OK
UtilityControlRoom-PT-Z2T4N06,itstools,106,162,510,8,9,0,15,47,154,68,00,OK
UtilityControlRoom-PT-Z2T4N08,itstools,140,216,680,10,10,0,19,63,160,76,00,OK
UtilityControlRoom-PT-Z2T4N10,itstools,174,270,850,10,7,0,23,79,163,71,00,OK
UtilityControlRoom-PT-Z4T3N06,itstools,228,450,1446,14,9,0,15,141,169,74,00,OK
UtilityControlRoom-PT-Z4T3N08,itstools,302,600,1928,18,11,0,19,189,189,77,00,OK
UtilityControlRoom-PT-Z4T3N10,itstools,376,750,2410,23,15,0,23,237,217,78,00,OK
UtilityControlRoom-PT-Z4T4N02,itstools,80,150,482,7,7,0,7,45,140,70,00,OK
UtilityControlRoom-PT-Z4T4N04,itstools,154,300,964,12,10,0,11,93,179,78,00,OK
UtilityControlRoom-PT-Z4T4N06,itstools,228,450,1446,15,14,0,15,141,190,81,00,OK
UtilityControlRoom-PT-Z4T4N08,itstools,302,600,1928,13,10,0,19,189,185,75,00,OK
UtilityControlRoom-PT-Z4T4N10,itstools,376,750,2410,22,13,0,23,237,228,82,00,OK
Vasy2003-PT-none,itstools,485,776,2809,20,18,0,66,277,238,80,00,OK
VehicularWifi-COL-none,itstools,115566,83836,301810,681,242,106837,8,8587,3128,3077,03,OK
ViralEpidemic-PT-S02D1C1A10,itstools,8189,10235,22517,648,585,0,0,2047,1847,2042,02,OK
ViralEpidemic-PT-S02D1C1A12,itstools,32765,40955,90101,9778,12536,0,0,8191,23413,24006,24,OK
ViralEpidemic-PT-S03D1C1A02,itstools,66,91,208,8,7,0,1,26,134,75,00,OK
ViralEpidemic-PT-S03D1C1A04,itstools,606,847,1936,52,58,0,1,242,291,86,00,OK
ViralEpidemic-PT-S03D1C1A06,itstools,5466,7651,17488,620,369,0,0,2186,1516,2010,02,OK
ViralEpidemic-PT-S03D1C1A08,itstools,49206,68887,157456,23629,44474,0,0,19682,70984,71063,11,OK
ViralEpidemic-PT-S04D1C1A02,itstools,127,189,441,12,9,0,1,63,162,73,00,OK
ViralEpidemic-PT-S04D1C1A03,itstools,511,765,1785,26,52,0,1,255,284,89,00,OK
ViralEpidemic-PT-S04D1C1A04,itstools,2047,3069,7161,221,165,0,1,1023,663,1029,01,OK
ViralEpidemic-PT-S04D1C1A06,itstools,32767,49149,114681,11679,18811,0,0,16383,31758,32040,32,OK
ViralEpidemic-PT-S08D1C2A02,itstools,731,1241,2993,39,64,0,1,511,285,87,00,OK
ViralEpidemic-PT-S08D1C2A04,itstools,46811,79577,191921,14562,41778,0,1,32767,57723,58036,58,OK
ViralEpidemic-PT-S16D2C4A01,itstools,307,561,1377,25,26,0,1,255,225,80,00,OK
ViralEpidemic-PT-S16D2C4A02,itstools,4915,9009,22113,293,576,0,1,4095,1310,1088,01,OK
ViralEpidemic-PT-S16D2C4A03,itstools,78643,144177,353889,28354,-1,0,0,0,120000,-1,-1,TO
AirplaneLD-COL-0010,tina,20,15,56,0,0,0,6,1,-1,3,00,OK
AirplaneLD-COL-0020,tina,20,15,56,0,0,0,6,1,-1,3,00,OK
AirplaneLD-COL-0050,tina,20,15,56,0,0,0,6,1,-1,3,00,OK
AirplaneLD-COL-0100,tina,20,15,56,0,0,0,6,1,-1,3,00,OK
AirplaneLD-COL-0200,tina,20,15,56,0,0,0,6,1,-1,3,00,OK
AirplaneLD-COL-0500,tina,20,15,56,0,0,0,6,1,-1,3,00,OK
AirplaneLD-COL-1000,tina,20,15,56,0,0,0,6,1,-1,3,00,OK
AirplaneLD-COL-2000,tina,20,15,56,0,0,0,6,1,-1,4,00,OK
AirplaneLD-COL-4000,tina,20,15,56,0,0,0,6,1,-1,4,00,OK
AirplaneLD-PT-0010,tina,89,88,333,2,1,0,35,34,-1,3,00,OK
AirplaneLD-PT-0020,tina,159,168,638,4,4,0,65,74,-1,5,00,OK
AirplaneLD-PT-0050,tina,369,408,1553,43,18,0,155,194,-1,13,00,OK
AirplaneLD-PT-0100,tina,719,808,3078,325,72,0,305,394,-1,56,00,OK
AirplaneLD-PT-0200,tina,1419,1608,6128,1186,235,0,605,794,-1,1099,01,OK
AirplaneLD-PT-0500,tina,3519,4008,15278,54646,1750,0,1505,1994,-1,60020,00,OK
AirplaneLD-PT-1000,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
AirplaneLD-PT-2000,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
AirplaneLD-PT-4000,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
Angiogenesis-PT-01,tina,39,64,185,0,1,0,8,33,-1,4,00,OK
Angiogenesis-PT-05,tina,39,64,185,0,1,0,8,33,-1,3,00,OK
Angiogenesis-PT-10,tina,39,64,185,0,1,0,8,33,-1,3,00,OK
Angiogenesis-PT-15,tina,39,64,185,1,1,0,8,33,-1,3,00,OK
Angiogenesis-PT-20,tina,39,64,185,0,1,0,8,33,-1,3,00,OK
Angiogenesis-PT-25,tina,39,64,185,1,1,0,8,33,-1,3,00,OK
Angiogenesis-PT-50,tina,39,64,185,0,1,0,8,33,-1,3,00,OK
ARMCacheCoherence-PT-none,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
ASLink-PT-01a,tina,431,735,2801,24,59,0,80,384,-1,19,00,OK
ASLink-PT-01b,tina,846,1148,3624,74,93,0,82,384,-1,38,00,OK
ASLink-PT-02a,tina,626,1008,3820,49,103,0,118,500,-1,32,00,OK
ASLink-PT-02b,tina,1242,1621,5041,151,187,0,121,500,-1,74,00,OK
ASLink-PT-03a,tina,821,1281,4839,64,165,0,156,616,-1,48,00,OK
ASLink-PT-03b,tina,1638,2094,6458,263,313,0,160,616,-1,1026,01,OK
ASLink-PT-04a,tina,1016,1554,5858,134,230,0,194,732,-1,75,00,OK
ASLink-PT-04b,tina,2034,2567,7875,401,446,0,199,732,-1,1089,01,OK
ASLink-PT-05a,tina,1211,1827,6877,180,273,0,232,848,-1,97,00,OK
ASLink-PT-05b,tina,2430,3040,9292,561,620,0,238,848,-1,2064,02,OK
ASLink-PT-06a,tina,1406,2100,7896,246,346,0,270,964,-1,1029,01,OK
ASLink-PT-06b,tina,2826,3513,10709,768,870,0,277,964,-1,3060,03,OK
ASLink-PT-07a,tina,1601,2373,8915,315,538,0,308,1080,-1,1073,01,OK
ASLink-PT-07b,tina,3222,3986,12126,1012,1097,0,316,1080,-1,4067,04,OK
ASLink-PT-08a,tina,1796,2646,9934,390,638,0,346,1196,-1,2013,02,OK
ASLink-PT-08b,tina,3618,4459,13543,1232,1297,0,355,1196,-1,5076,05,OK
ASLink-PT-09a,tina,1991,2919,10953,482,791,0,384,1312,-1,2064,02,OK
ASLink-PT-09b,tina,4014,4932,14960,1523,1640,0,394,1312,-1,7024,07,OK
ASLink-PT-10a,tina,2186,3192,11972,574,942,0,422,1428,-1,3012,03,OK
ASLink-PT-10b,tina,4410,5405,16377,1829,2390,0,433,1428,-1,9007,09,OK
AutoFlight-PT-01a,tina,32,30,100,0,0,0,10,8,-1,3,00,OK
AutoFlight-PT-01b,tina,114,112,264,1,1,0,10,8,-1,3,00,OK
AutoFlight-PT-02a,tina,57,55,180,1,1,0,16,14,-1,3,00,OK
AutoFlight-PT-02b,tina,206,204,478,3,3,0,16,14,-1,4,00,OK
AutoFlight-PT-03a,tina,82,80,260,1,1,0,22,20,-1,3,00,OK
AutoFlight-PT-03b,tina,298,296,692,7,6,0,22,20,-1,6,00,OK
AutoFlight-PT-04a,tina,107,105,340,1,1,0,28,26,-1,3,00,OK
AutoFlight-PT-04b,tina,390,388,906,11,12,0,28,26,-1,8,00,OK
AutoFlight-PT-05a,tina,132,130,420,2,1,0,34,32,-1,4,00,OK
AutoFlight-PT-05b,tina,482,480,1120,17,18,0,34,32,-1,10,00,OK
AutoFlight-PT-06a,tina,157,155,500,3,2,0,40,38,-1,4,00,OK
AutoFlight-PT-06b,tina,574,572,1334,24,25,0,40,38,-1,13,00,OK
AutoFlight-PT-12a,tina,307,305,980,8,8,0,76,74,-1,6,00,OK
AutoFlight-PT-12b,tina,1126,1124,2618,102,76,0,76,74,-1,40,00,OK
AutoFlight-PT-24a,tina,607,605,1940,29,35,0,148,146,-1,16,00,OK
AutoFlight-PT-24b,tina,2230,2228,5186,374,307,0,148,146,-1,1052,01,OK
AutoFlight-PT-48a,tina,1127,1113,3458,113,92,0,258,244,-1,46,00,OK
AutoFlight-PT-48b,tina,3950,3936,9104,1213,1235,0,258,244,-1,5010,05,OK
AutoFlight-PT-96a,tina,2251,2225,6914,498,483,0,514,488,-1,1096,01,OK
AutoFlight-PT-96b,tina,7894,7868,18200,4802,4731,0,514,488,-1,20090,20,OK
AutonomousCar-PT-01a,tina,25,35,143,0,0,0,6,16,-1,3,00,OK
AutonomousCar-PT-01b,tina,119,132,339,1,2,0,6,19,-1,4,00,OK
AutonomousCar-PT-02a,tina,33,69,368,0,1,0,7,43,-1,3,00,OK
AutonomousCar-PT-02b,tina,155,194,620,2,3,0,7,46,-1,4,00,OK
AutonomousCar-PT-03a,tina,41,121,745,1,2,0,8,88,-1,4,00,OK
AutonomousCar-PT-03b,tina,190,273,1051,4,5,0,8,91,-1,5,00,OK
AutonomousCar-PT-04a,tina,49,193,1306,1,4,0,9,153,-1,4,00,OK
AutonomousCar-PT-04b,tina,221,368,1658,5,11,0,9,156,-1,7,00,OK
AutonomousCar-PT-05a,tina,57,289,2123,2,10,0,10,242,-1,5,00,OK
AutonomousCar-PT-05b,tina,255,490,2527,9,26,0,10,245,-1,10,00,OK
AutonomousCar-PT-06a,tina,65,417,3356,2,21,0,11,363,-1,8,00,OK
AutonomousCar-PT-06b,tina,289,644,3812,12,43,0,11,366,-1,14,00,OK
AutonomousCar-PT-07a,tina,73,593,5357,3,42,0,12,532,-1,12,00,OK
AutonomousCar-PT-07b,tina,323,846,5865,19,79,0,12,535,-1,22,00,OK
AutonomousCar-PT-08a,tina,81,849,8894,5,85,0,13,781,-1,22,00,OK
AutonomousCar-PT-08b,tina,357,1128,9454,26,132,0,13,784,-1,35,00,OK
AutonomousCar-PT-09a,tina,89,1249,15631,7,176,0,14,1174,-1,43,00,OK
AutonomousCar-PT-09b,tina,391,1554,16243,40,284,0,14,1177,-1,66,00,OK
AutonomousCar-PT-10a,tina,97,1921,29152,13,538,0,15,1839,-1,1016,01,OK
AutonomousCar-PT-10b,tina,425,2252,29816,65,583,0,15,1842,-1,1036,01,OK
BART-COL-002,tina,4,7,26,0,0,0,3,6,-1,3,00,OK
BART-COL-005,tina,4,7,26,0,0,0,3,6,-1,3,00,OK
BART-COL-010,tina,4,7,26,0,0,0,3,6,-1,3,00,OK
BART-COL-020,tina,4,7,26,0,0,0,3,6,-1,3,00,OK
BART-COL-030,tina,4,7,26,0,0,0,3,6,-1,3,00,OK
BART-COL-040,tina,4,7,26,0,0,0,3,6,-1,4,00,OK
BART-COL-050,tina,4,7,26,1,1,0,3,6,-1,9,00,OK
BART-COL-060,tina,4,7,26,0,0,0,3,6,-1,4,00,OK
BART-PT-002,tina,474,404,3240,78,22,0,212,142,-1,22,00,OK
BART-PT-005,tina,870,1010,8100,159,84,0,215,355,-1,47,00,OK
BART-PT-010,tina,1530,2020,16200,411,393,0,220,710,-1,1052,01,OK
BART-PT-020,tina,2850,4040,32400,1106,1444,0,230,1420,-1,5016,05,OK
BART-PT-030,tina,4170,6060,48600,2371,3685,0,240,2130,-1,11079,11,OK
BART-PT-040,tina,5490,8080,64800,3922,5026,0,250,2840,-1,19009,19,OK
BART-PT-050,tina,6810,10100,81000,5826,9257,0,260,3550,-1,31066,31,OK
BART-PT-060,tina,8130,12120,97200,9355,12744,0,270,4260,-1,45038,45,OK
BridgeAndVehicles-COL-V04P05N02,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V10P10N10,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V20P10N10,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V20P10N20,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V20P10N50,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V20P20N10,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V20P20N20,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V20P20N50,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V50P20N10,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V50P20N20,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V50P20N50,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V50P50N10,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V50P50N20,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V50P50N50,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V80P20N10,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V80P20N20,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V80P20N50,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V80P50N10,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V80P50N20,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-COL-V80P50N50,tina,15,11,56,0,0,0,7,3,-1,3,00,OK
BridgeAndVehicles-PT-V04P05N02,tina,28,52,326,0,1,0,7,31,-1,3,00,OK
BridgeAndVehicles-PT-V10P10N10,tina,48,288,2090,1,10,0,7,247,-1,6,00,OK
BridgeAndVehicles-PT-V20P10N10,tina,68,548,4070,3,34,0,7,487,-1,12,00,OK
BridgeAndVehicles-PT-V20P10N20,tina,78,968,7350,5,122,0,7,897,-1,29,00,OK
BridgeAndVehicles-PT-V20P10N50,tina,108,2228,17190,14,651,0,7,2127,-1,1070,01,OK
BridgeAndVehicles-PT-V20P20N10,tina,68,548,4070,2,32,0,7,487,-1,11,00,OK
BridgeAndVehicles-PT-V20P20N20,tina,78,968,7350,5,121,0,7,897,-1,29,00,OK
BridgeAndVehicles-PT-V20P20N50,tina,108,2228,17190,14,651,0,7,2127,-1,1070,01,OK
BridgeAndVehicles-PT-V50P20N10,tina,128,1328,10010,12,198,0,7,1207,-1,48,00,OK
BridgeAndVehicles-PT-V50P20N20,tina,138,2348,18090,18,672,0,7,2217,-1,1052,01,OK
BridgeAndVehicles-PT-V50P20N50,tina,168,5408,42330,63,4101,0,7,5247,-1,14068,14,OK
BridgeAndVehicles-PT-V50P50N10,tina,128,1328,10010,12,192,0,7,1207,-1,47,00,OK
BridgeAndVehicles-PT-V50P50N20,tina,138,2348,18090,18,681,0,7,2217,-1,1047,01,OK
BridgeAndVehicles-PT-V50P50N50,tina,168,5408,42330,61,4071,0,7,5247,-1,14079,14,OK
BridgeAndVehicles-PT-V80P20N10,tina,188,2108,15950,22,515,0,7,1927,-1,1018,01,OK
BridgeAndVehicles-PT-V80P20N20,tina,198,3728,28830,49,1816,0,7,3537,-1,4012,04,OK
BridgeAndVehicles-PT-V80P20N50,tina,228,8588,67470,104,8655,0,7,8367,-1,28029,28,OK
BridgeAndVehicles-PT-V80P50N10,tina,188,2108,15950,22,506,0,7,1927,-1,1021,01,OK
BridgeAndVehicles-PT-V80P50N20,tina,198,3728,28830,50,1808,0,7,3537,-1,4016,04,OK
BridgeAndVehicles-PT-V80P50N50,tina,228,8588,67470,105,8677,0,7,8367,-1,28040,28,OK
BugTracking-PT-q3m002,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q3m004,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q3m008,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q3m016,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q3m032,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q3m064,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q3m128,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q3m256,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q8m002,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q8m004,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q8m008,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q8m016,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q8m032,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
BugTracking-PT-q8m064,tina,-1,-1,-1,-1,-1,0,-1,-1,-1,120000,-1,TO
